placeDcid,placeName,Date:Count_Person_Civilian_SingleMotherFamilyHousehold_NonInstitutionalized,Value:Count_Person_Civilian_SingleMotherFamilyHousehold_NonInstitutionalized,Source:Count_Person_Civilian_SingleMotherFamilyHousehold_NonInstitutionalized,Date:Count_Person_25OrMoreYears_EducationalAttainmentHighSchoolGraduateGedOrAlternative_NoHealthInsurance,Value:Count_Person_25OrMoreYears_EducationalAttainmentHighSchoolGraduateGedOrAlternative_NoHealthInsurance,Source:Count_Person_25OrMoreYears_EducationalAttainmentHighSchoolGraduateGedOrAlternative_NoHealthInsurance,Date:Percent_Person_Obesity,Value:Percent_Person_Obesity,Source:Percent_Person_Obesity,Date:Amount_EconomicActivity_GrossDomesticProduction_RealValue,Value:Amount_EconomicActivity_GrossDomesticProduction_RealValue,Source:Amount_EconomicActivity_GrossDomesticProduction_RealValue,Date:Count_HousingUnit,Value:Count_HousingUnit,Source:Count_HousingUnit
geoId/13303,Washington County,2020,5323,https://data.census.gov/cedsci/table?q=S2701&tid=ACSST5Y2020.S2701,2014,1229,https://data.census.gov/cedsci/table?q=S2701&tid=ACSST5Y2020.S2701,2018,37.3,https://www.cdc.gov/places/index.html,2018,580610000,https://www.bea.gov/,2020,9397,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/22111,Union Parish,2020,4815,https://data.census.gov/cedsci/table?q=S2701&tid=ACSST5Y2020.S2701,2014,1470,https://data.census.gov/cedsci/table?q=S2701&tid=ACSST5Y2020.S2701,2018,37.2,https://www.cdc.gov/places/index.html,2018,624213000,https://www.bea.gov/,2020,11932,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/29005,Atchison County,2020,502,https://data.census.gov/cedsci/table?q=S2701&tid=ACSST5Y2020.S2701,2014,282,https://data.census.gov/cedsci/table?q=S2701&tid=ACSST5Y2020.S2701,2018,32.9,https://www.cdc.gov/places/index.html,2018,283842000,https://www.bea.gov/,2020,2947,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/29083,Henry County,2020,3561,https://data.census.gov/cedsci/table?q=S2701&tid=ACSST5Y2020.S2701,2014,891,https://data.census.gov/cedsci/table?q=S2701&tid=ACSST5Y2020.S2701,2018,35.8,https://www.cdc.gov/places/index.html,2018,685543000,https://www.bea.gov/,2020,10971,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/31165,Sioux County,2020,102,https://data.census.gov/cedsci/table?q=S2701&tid=ACSST5Y2020.S2701,2014,62,https://data.census.gov/cedsci/table?q=S2701&tid=ACSST5Y2020.S2701,2018,33.1,https://www.cdc.gov/places/index.html,2018,67340000,https://www.bea.gov/,2020,811,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/42091,Montgomery County,2020,90803,https://data.census.gov/cedsci/table?q=S2701&tid=ACSST5Y2020.S2701,2014,14361,https://data.census.gov/cedsci/table?q=S2701&tid=ACSST5Y2020.S2701,2018,28.5,https://www.cdc.gov/places/index.html,2018,69918251000,https://www.bea.gov/,2020,336189,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/45015,Berkeley County,2020,39898,https://data.census.gov/cedsci/table?q=S2701&tid=ACSST5Y2020.S2701,2014,8742,https://data.census.gov/cedsci/table?q=S2701&tid=ACSST5Y2020.S2701,2018,38.6,https://www.cdc.gov/places/index.html,2018,7034739000,https://www.bea.gov/,2020,86274,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/48329,Midland County,2020,27930,https://data.census.gov/cedsci/table?q=S2701&tid=ACSST5Y2020.S2701,2014,4942,https://data.census.gov/cedsci/table?q=S2701&tid=ACSST5Y2020.S2701,2018,38.1,https://www.cdc.gov/places/index.html,2018,26786004000,https://www.bea.gov/,2020,62327,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/48351,Newton County,2020,2453,https://data.census.gov/cedsci/table?q=S2701&tid=ACSST5Y2020.S2701,2014,1346,https://data.census.gov/cedsci/table?q=S2701&tid=ACSST5Y2020.S2701,2018,40.1,https://www.cdc.gov/places/index.html,2018,508661000,https://www.bea.gov/,2020,7402,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72093,Maricao Municipio,2020,2341,https://data.census.gov/cedsci/table?q=S2701&tid=ACSST5Y2020.S2701,2014,95,https://data.census.gov/cedsci/table?q=S2701&tid=ACSST5Y2020.S2701,,,,,,,2020,2602,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05105,Perry County,2020,1775,https://data.census.gov/cedsci/table?q=S2701&tid=ACSST5Y2020.S2701,2014,455,https://data.census.gov/cedsci/table?q=S2701&tid=ACSST5Y2020.S2701,2018,35.5,https://www.cdc.gov/places/index.html,2018,141590000,https://www.bea.gov/,2020,4993,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/13145,Harris County,2020,3809,https://data.census.gov/cedsci/table?q=S2701&tid=ACSST5Y2020.S2701,2014,1013,https://data.census.gov/cedsci/table?q=S2701&tid=ACSST5Y2020.S2701,2018,29.3,https://www.cdc.gov/places/index.html,2018,449959000,https://www.bea.gov/,2020,14336,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/13283,Treutlen County,2020,1371,https://data.census.gov/cedsci/table?q=S2701&tid=ACSST5Y2020.S2701,2014,312,https://data.census.gov/cedsci/table?q=S2701&tid=ACSST5Y2020.S2701,2018,35.5,https://www.cdc.gov/places/index.html,2018,119360000,https://www.bea.gov/,2020,3002,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
